trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-154.59516713892884,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-105.75970169806843,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-153.62069914146818,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-28.74025525113017,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,10,-55.742996897704394,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-136.5084309459529,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-68.41501016600346,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,4,-185.0434105539331,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 4}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,11,-8.619699835162532,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,11,-11.35347118347455,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,18,-44.721354157998334,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-14.581745383231809,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,17,-46.00556026898211,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,11,1.968245886614751,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,18,13.680472674117198,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,6,15.359958902359722,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,13,2.8595740679461574,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,29.5345943523075,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,17,25.057020891731483,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,13,-1.8800768029045773,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,8,15.685740044855285,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,13,13.64021114567485,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,13,12.978702154434039,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,11,-1.1289721057665876,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,20,8.474393499035129,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,13,14.843559979528813,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",35,21,24.85214616079221,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,12,13.88734478547789,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,3,13.737990155244818,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,10,20.83829514943998,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
