trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-134.97899794997966,"{0: 7, 1: 3, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-80.95055238506863,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-80.24590390244505,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.6703200460356393}",30,0,-135.76269492968535,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,11,-54.828871061511364,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.5488116360940264}",25,0,-125.48910885137661,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,0,-10.414653866469726,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,7,-98.21524606717593,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,2,2.7016947740727484,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,18,12.086378826919209,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.33287108369807955}",30,10,2.091625929471542,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.301194211912202}",20,3,22.604963250226476,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,1,-36.97453074847209,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.24659696394160643}",30,16,21.325062573458652,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,8,-38.564674691547594,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,5,6.561333415811591,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1826835240527346}",25,13,-24.646528416211325,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,8,32.69183666395186,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.14956861922263504}",25,10,15.379336808630944,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.1353352832366127}",35,17,32.31705607272564,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,4,-45.00533081926962,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.11080315836233387}",25,12,24.07252650817789,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.1002588437228037}",25,6,17.709210185235474,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.09071795328941247}",20,16,8.630188142352424,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.0820849986238988}",25,12,-19.154926155813776,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.07427357821433388}",25,15,16.60634478940934,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.06720551273974976}",20,9,20.907517722967402,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.06081006262521795}",35,21,23.581886584412885,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.05502322005640721}",20,13,10.318230176092683,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,9,30.20682281259091,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
