trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.3771259523229,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.55996018600106,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-197.94550883653878,"{0: 9, 1: 5, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.3225097896304,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,12,-57.41122067572606,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,8,-68.16877371250271,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.67134736566088,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.25915613842068,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.40569457429359,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.28756278694499,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.5870457261912,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.5365613685974,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.17764392976275,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.35917090408711,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.18476352157685,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.70307497655014,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.75467918773562,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.80846192276834,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.920910824240927,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.0462830151715,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.53737762353218,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.77661929117411,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.16349789061314,"{0: 8, 1: 7, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-114.95619731563465,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.2102129086203,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.01928992830162,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,4,-203.44097025216934,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 4}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.85511741424483,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.79294621356168,"{0: 14, 1: 8, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.84540710522553,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
